Hyperbolic rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 10
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,  error ang
424 :  -2.125600,   6.792058,  29.013482 |   0.982672,   5.442276,    0.000000 | 9.496867e-04, 1.723896e-04,   0.009997 :       OK
425 :   0.505505,  -1.076233, -37.407598 |   1.137445,  -1.383962,    0.000000 | 3.616871e-04, 2.971709e-04,   0.014983 :       OK
426 :  -4.024586,   2.451992,  -0.796945 |  -3.368152,   2.081267,    0.000000 | 6.442263e-02, 1.027180e-01,   1.730915 :       OK
427 :  -4.998252,  -1.407058,  -5.202432 |  -4.058408,  -0.795262,    0.000000 | 1.565573e-04, 8.025110e-04,   0.011332 :       OK
428 :   5.571026,   4.138353,   4.235926 |   4.889479,   3.785392,    0.000000 | 1.944802e-03, 2.512773e-03,   0.029458 :       OK
429 :   1.800129,  -5.028570,  55.130027 |  -2.423530,  -4.588358,    0.000000 | 2.178899e-03, 1.151777e-03,   0.027200 :       OK
430 :  -7.082133,   4.573675,  -3.078560 |  -6.089124,   4.116540,    0.000000 | 1.272015e+01, 1.200180e+01,  28.394363 : Overflow
431 :  -1.469267,   1.616537,  23.462831 |  -0.758052,   0.942097,    0.000000 | 7.213056e-04, 5.805325e-04,   0.043847 :       OK
432 :  -6.481467,   6.652951,  -3.260954 |  -5.701281,   5.835702,    0.000000 | 1.189334e+01, 1.194202e+01,  28.211969 : Overflow
433 :  -1.750496,   4.677857, -26.728671 |  -3.490646,   5.014139,    0.000000 | 4.873961e-03, 3.394691e-03,   0.055669 :       OK
434 :   2.489268,  -5.491402,   6.169746 |   1.585914,  -4.360255,    0.000000 | 3.969406e-03, 1.441592e-03,   0.052172 :       OK
435 :   1.105287,   4.842918,  44.853014 |   4.689987,   6.107674,    0.000000 | 4.974137e-03, 3.820793e-03,   0.046641 :       OK
436 :   6.908007,  -0.875605,  26.121641 |   5.995407,   1.901421,    0.000000 | 2.895163e-04, 9.157896e-04,   0.008755 :       OK
437 :   2.974562,   0.919110,  45.085004 |   3.936634,   3.160150,    0.000000 | 2.122925e-03, 2.643890e-03,   0.038463 :       OK
438 :   0.584364,  -6.424449,  39.231144 |  -3.339032,  -6.271555,    0.000000 | 4.377037e-03, 2.328572e-03,   0.040000 :       OK
439 :  -7.173681,   0.851674, -20.536590 |  -6.597836,   2.932160,    0.000000 | 1.396407e-03, 3.145445e-03,   0.027322 :       OK
440 :  -0.677169,  -7.002001, -28.173978 |   2.342329,  -6.239263,    0.000000 | 4.982378e-03, 1.867905e-03,   0.045764 :       OK
441 :   4.056907,  -3.163408,   2.535915 |   3.253427,  -2.478466,    0.000000 | 3.490083e-04, 4.578013e-04,   0.008055 :       OK
442 :  -0.046997,   1.987738,  27.566386 |   0.780934,   1.824505,    0.000000 | 4.142116e-05, 1.796550e-05,   0.001297 :       OK
443 :   5.510986,   3.014192,  34.490709 |   7.025007,   5.890228,    0.000000 | 1.456450e+01, 1.633978e+00,  11.616290 : Overflow
444 :   7.510255,   6.105568, -13.432486 |   5.205261,   3.731728,    0.000000 | 2.558280e-03, 3.567073e-03,   0.039248 :       OK
445 :  -4.681452,  -1.582822,  -8.876170 |  -3.727006,  -0.724986,    0.000000 | 3.993469e-04, 2.058710e-03,   0.031652 :       OK
446 :   3.875044,   0.960330, -19.200974 |   3.125620,  -0.255811,    0.000000 | 1.578251e-04, 1.941635e-03,   0.035594 :       OK
447 :   0.321829,   5.681832, -41.838665 |  -3.415521,   5.815726,    0.000000 | 3.897277e-03, 2.290301e-03,   0.038383 :       OK
448 :  -5.270540,   5.700765,  39.710091 |  -1.919152,   2.633085,    0.000000 | 1.864305e-03, 1.358319e-03,   0.040584 :       OK
449 :   5.908325,   1.434615,  -2.975502 |   4.847383,   0.937304,    0.000000 | 1.029449e-06, 1.520467e-06,   0.000016 :       OK
450 :  -3.503481,   1.578927,  28.822233 |  -2.595554,  -0.045411,    0.000000 | 1.727039e-05, 1.022328e-03,   0.022568 :       OK
451 :  -3.339165,  -1.067578,  29.616229 |  -3.627815,  -2.503712,    0.000000 | 1.445061e-03, 2.094747e-03,   0.033096 :       OK
452 :  -0.111202,   6.102633,  -5.410399 |  -0.571572,   5.095173,    0.000000 | 2.416893e-03, 2.724873e-04,   0.027176 :       OK
453 :  -4.713171,   7.100474,  -8.632367 |  -4.846420,   6.550301,    0.000000 | 1.258301e+01, 1.309324e+01,  22.840557 : Overflow
454 :   6.100620,  -6.775055,  18.076057 |   3.513026,  -4.280243,    0.000000 | 2.232036e-03, 1.832356e-03,   0.029864 :       OK
455 :   7.516670,  -7.969871,  11.001709 |   5.074863,  -5.530529,    0.000000 | 3.893806e-03, 3.572648e-03,   0.040361 :       OK
456 :   0.949483,   3.559407,  30.330703 |   2.538425,   3.813950,    0.000000 | 2.383210e-03, 1.586929e-03,   0.035789 :       OK
457 :   2.059315,   0.326778,  -7.867337 |   1.687567,   0.038342,    0.000000 | 2.174730e-05, 9.812142e-04,   0.033314 :       OK
458 :  -7.579794,  -7.713463, -30.511686 |  -3.630825,  -3.819740,    0.000000 | 2.220385e-03, 2.110693e-03,   0.033288 :       OK
459 :   1.136114,   4.856873, -30.319611 |  -1.155767,   4.085233,    0.000000 | 3.343206e-03, 9.476974e-04,   0.046881 :       OK
460 :   4.786766,   5.638571, -26.854194 |   2.142193,   3.271613,    0.000000 | 2.400246e-03, 1.570843e-03,   0.042052 :       OK
461 :   4.290346,   3.718548, -51.634989 |   1.933537,   0.765134,    0.000000 | 5.997155e-04, 1.517438e-03,   0.044976 :       OK
462 :   4.575117,   7.920745, -15.841688 |   2.101917,   5.762239,    0.000000 | 1.370045e-03, 4.988145e-04,   0.013627 :       OK
463 :  -6.911266,   1.570106,  -0.797992 |  -5.753544,   1.382846,    0.000000 | 4.438054e-02, 1.743673e-01,   1.729868 :       OK
464 :   0.238005,  -1.493973,  12.290675 |  -0.065916,  -1.225613,    0.000000 | 3.745971e-04, 1.989275e-05,   0.017513 :       OK
465 :   7.704490,   4.738533,   6.990494 |   6.921603,   4.743183,    0.000000 | 1.284785e+01, 1.215240e+01,  24.482429 : Overflow
466 :   3.438889,   5.630605,  38.851630 |   6.951665,   7.874784,    0.000000 | 1.485996e+01, 1.496119e+01,   7.255370 : Overflow
467 :   1.483573,   3.040197, -31.833160 |  -0.048843,   2.202484,    0.000000 | 1.427964e-03, 3.086897e-05,   0.037148 :       OK
468 :  -3.341492,  -1.593273,   0.613200 |  -2.787017,  -1.351820,    0.000000 | 4.673905e-02, 9.390651e-02,   1.914660 :       OK
469 :  -4.870215,  -5.907417, -23.713423 |  -2.305114,  -3.606996,    0.000000 | 2.597829e-03, 1.659297e-03,   0.041281 :       OK
470 :   7.299077,  -3.025621,  29.428153 |   5.526299,   0.400286,    0.000000 | 3.033768e-04, 4.154789e-03,   0.043074 :       OK
471 :  -2.030972,   4.357316, -43.756517 |  -5.238641,   6.138075,    0.000000 | 2.567106e-03, 2.191363e-03,   0.023951 :       OK
472 :   5.550127,  -2.216092,  59.452915 |   5.045913,   2.762796,    0.000000 | 2.027792e-03, 3.706280e-03,   0.042098 :       OK
473 :  -4.035456,  -1.679374, -31.423157 |  -3.061743,   0.321534,    0.000000 | 1.498528e-03, 1.460194e-02,   0.273321 :       OK
474 :  -0.263358,  -4.639280, -30.897288 |   1.926932,  -4.299378,    0.000000 | 2.156777e-03, 9.676026e-04,   0.028735 :       OK
475 :  -3.717263,  -3.191099, -37.819718 |  -1.903691,  -1.058891,    0.000000 | 3.788646e-04, 6.816601e-04,   0.020523 :       OK
476 :   7.156112,   5.544223, -14.719742 |   4.940102,   3.210793,    0.000000 | 9.172938e-04, 1.412222e-03,   0.016387 :       OK
477 :  -2.059641,  -4.248341,  20.014192 |  -3.070981,  -4.351674,    0.000000 | 3.529655e-03, 2.491947e-03,   0.046453 :       OK
478 :   1.613497,  -3.728052, -29.079242 |   3.153317,  -4.209565,    0.000000 | 4.094967e-03, 3.066311e-03,   0.055763 :       OK
479 :  -1.995807,   7.779048,  27.870841 |   1.409305,   6.396045,    0.000000 | 3.746740e-03, 8.275714e-04,   0.033559 :       OK
480 :  -3.817031,  -1.470835,  40.235232 |  -4.910144,  -3.945537,    0.000000 | 2.540429e-03, 3.162317e-03,   0.036918 :       OK
481 :  -3.597564,  -2.452551,  22.236342 |  -4.022629,  -3.378125,    0.000000 | 2.855395e-03, 3.400900e-03,   0.048465 :       OK
482 :   7.068708,   2.383856, -21.900370 |   5.524573,  -0.172629,    0.000000 | 1.424222e-04, 4.648552e-03,   0.048211 :       OK
483 :  -2.910877,   4.540173, -19.559952 |  -3.868762,   4.829715,    0.000000 | 4.475540e-03, 3.586070e-03,   0.053067 :       OK
484 :   6.485152,   5.240584, -24.606496 |   3.959710,   2.373005,    0.000000 | 2.129524e-03, 3.555805e-03,   0.051471 :       OK
485 :  -4.906030,   4.134830, -37.214298 |  -7.348748,   7.014514,    0.000000 | 1.472834e+01, 1.468331e+01,   8.892701 : Overflow
486 :  -1.644987,   4.300939, -50.998826 |  -5.555362,   6.460302,    0.000000 | 1.080813e-03, 9.297193e-04,   0.009577 :       OK
487 :   1.296620,  -0.410786, -57.182859 |   2.057276,  -1.786333,    0.000000 | 3.209494e-04, 3.697434e-04,   0.010306 :       OK
488 :   6.548042,   7.010474,  -4.493130 |   4.993512,   5.408532,    0.000000 | 4.639860e-03, 4.283412e-03,   0.049181 :       OK
489 :  -1.089906,  -1.219827, -18.361130 |  -0.621272,  -0.769804,    0.000000 | 2.790865e-04, 2.251763e-04,   0.020782 :       OK
490 :  -4.065892,   3.700330, -23.058442 |  -4.920047,   4.717211,    0.000000 | 2.043803e-03, 2.131589e-03,   0.024809 :       OK
491 :   0.214164,  -5.132272, -47.835191 |   4.226488,  -5.997320,    0.000000 | 4.050945e-03, 2.855978e-03,   0.038685 :       OK
492 :   4.277563,  -2.721992,   4.891143 |   3.369336,  -1.963522,    0.000000 | 4.499941e-04, 7.714578e-04,   0.013113 :       OK
493 :  -6.617898,   2.657417, -32.679750 |  -7.736144,   5.878325,    0.000000 | 1.429795e+01, 2.074693e+00,  13.427250 : Overflow
494 :   1.824741,  -7.733943, -12.407943 |   2.950435,  -6.899026,    0.000000 | 2.741277e+00, 1.425271e+01,  19.064981 : Overflow
495 :   3.425460,  -3.793605, -44.239149 |   6.411917,  -6.553059,    0.000000 | 1.263343e-03, 1.236116e-03,   0.011056 :       OK
496 :  -7.103910,  -2.095684, -22.912328 |  -5.658253,   0.540726,    0.000000 | 4.958329e-04, 5.222804e-03,   0.052890 :       OK
497 :  -4.110815,   6.677379, -23.482281 |  -6.036547,   7.450136,    0.000000 | 1.412957e+00, 1.471735e+01,   7.990643 : Overflow
498 :  -4.776595,  -4.219421,   3.456139 |  -4.182068,  -3.746799,    0.000000 | 2.157582e-03, 2.408519e-03,   0.033014 :       OK
499 :  -3.184117,  -1.643097, -35.566774 |  -2.265977,   0.112854,    0.000000 | 7.012567e-05, 1.392235e-03,   0.035202 :       OK
500 :   1.814447,  -7.196377,  49.648075 |  -3.739552,  -6.882973,    0.000000 | 1.975701e-03, 1.074386e-03,   0.016440 :       OK
501 :  -0.735774,   4.812943,  45.794235 |   2.726725,   4.797067,    0.000000 | 5.777178e-05, 3.335283e-05,   0.000685 :       OK
502 :   7.792909,  -6.816018,  19.542166 |   4.879525,  -3.739440,    0.000000 | 2.682342e-03, 3.499052e-03,   0.041068 :       OK
503 :   3.291510,  -7.816150,  31.168039 |  -0.559309,  -5.909099,    0.000000 | 1.877317e-03, 1.764501e-04,   0.018204 :       OK
504 :  -0.275588,  -6.315931, -31.924813 |   2.808522,  -5.941544,    0.000000 | 1.751440e-03, 8.269455e-04,   0.016895 :       OK
505 :  -7.074209,  -3.459930,  17.120898 |  -7.004797,  -4.780404,    0.000000 | 1.420062e+01, 2.216630e+00,  14.352026 : Overflow
506 :   6.223195,  -5.951838, -17.421692 |   6.929400,  -6.763269,    0.000000 | 1.373029e+01, 1.369983e+01,  14.051232 : Overflow
507 :  -4.374033,   5.551399,  27.416034 |  -1.763723,   3.340191,    0.000000 | 2.316210e-03, 1.222081e-03,   0.039743 :       OK
508 :   2.168337,   3.837681, -35.817638 |   0.039492,   2.627720,    0.000000 | 3.738923e-04, 5.185308e-06,   0.008153 :       OK
509 :   6.099546,   4.734977, -58.290189 |   3.191108,   0.059327,    0.000000 | 9.768360e-07, 8.027402e-05,   0.001442 :       OK
510 :   0.246525,   4.188377,  -5.543622 |  -0.131269,   3.471896,    0.000000 | 3.550830e-04, 1.399326e-05,   0.005859 :       OK
511 :   1.006254,  -4.933578,  30.732761 |  -1.344687,  -4.227309,    0.000000 | 2.253676e-03, 7.157334e-04,   0.030551 :       OK
512 :  -4.188430,   1.907777, -13.685996 |  -3.956845,   2.466506,    0.000000 | 1.851190e-03, 2.968012e-03,   0.042962 :       OK
513 :  -0.026758,  -0.273114,  53.672343 |  -0.277411,  -0.357524,    0.000000 | 1.870526e-04, 1.451819e-04,   0.029963 :       OK
514 :  -5.839585,  -3.565734,  18.294935 |  -6.055601,  -4.684554,    0.000000 | 2.036666e-03, 2.633533e-03,   0.024929 :       OK
515 :  -6.444132,  -0.260014,  26.244838 |  -6.020392,  -2.774686,    0.000000 | 9.694394e-04, 2.105709e-03,   0.020046 :       OK
516 :   1.219278,   3.733331, -23.421609 |  -0.204466,   2.935110,    0.000000 | 1.344417e-04, 8.893470e-06,   0.002625 :       OK
517 :   4.412712,   2.635007,  24.215761 |   4.945379,   3.978725,    0.000000 | 3.755194e-04, 4.671072e-04,   0.005419 :       OK
518 :  -2.637658,   4.718880,  50.827421 |   0.839589,   3.353628,    0.000000 | 2.506546e-03, 6.261459e-04,   0.042830 :       OK
519 :   5.988204,   7.496655, -49.163280 |   0.895977,   3.848179,    0.000000 | 3.600082e-03, 8.360374e-04,   0.053610 :       OK
520 :   6.339173,   5.455095, -22.109790 |   3.866242,   2.787186,    0.000000 | 1.646456e-03, 2.283015e-03,   0.033819 :       OK
521 :  -1.679213,  -3.301632,  49.753552 |  -4.642031,  -5.206970,    0.000000 | 2.170326e-03, 1.935113e-03,   0.023869 :       OK
522 :   0.061596,  -1.350997, -22.439880 |   0.505444,  -1.228648,    0.000000 | 6.017156e-04, 2.472488e-04,   0.028066 :       OK
523 :  -3.797174,  -3.113229,  -0.284019 |  -3.138058,  -2.567713,    0.000000 | 9.817632e-02, 1.209556e-01,   2.243841 :       OK
524 :  -3.301975,  -5.119002, -19.869781 |  -1.403573,  -3.536302,    0.000000 | 2.034080e-03, 8.083034e-04,   0.032949 :       OK
525 :   5.252369,  -5.625606, -18.606664 |   6.132878,  -6.356705,    0.000000 | 1.406771e+01, 1.410491e+01,  12.866260 : Overflow
526 :   7.146726,   4.492999, -57.719313 |   4.778537,  -1.251567,    0.000000 | 2.798534e-04, 1.065312e-03,   0.012771 :       OK
527 :  -4.162960,  -3.416827, -13.001759 |  -2.894756,  -2.117915,    0.000000 | 2.022454e-03, 2.765411e-03,   0.054761 :       OK
528 :   4.861623,  -0.699356,  16.085976 |   4.029047,   0.544186,    0.000000 | 6.424755e-05, 4.805259e-04,   0.006835 :       OK
529 :   3.834576,  -0.052057,  15.251512 |   3.283621,   0.812279,    0.000000 | 6.291319e-04, 2.537541e-03,   0.044271 :       OK
530 :   4.364917,   0.561177,  40.566938 |   4.926273,   3.371444,    0.000000 | 1.934540e-03, 2.827947e-03,   0.032904 :       OK
531 :   3.243655,   4.308042,  32.844406 |   5.309276,   5.807136,    0.000000 | 4.175934e-03, 3.817526e-03,   0.041224 :       OK
532 :   5.745040,   4.335026,  12.557232 |   5.676768,   4.737034,    0.000000 | 4.274565e-03, 5.121384e-03,   0.051663 :       OK
533 :  -0.321249,   3.801897, -32.881587 |  -2.223194,   3.850188,    0.000000 | 2.252013e-03, 1.301215e-03,   0.033502 :       OK
534 :  -1.593912,  -6.178994, -34.404788 |   1.698862,  -5.236908,    0.000000 | 3.179596e-03, 1.029865e-03,   0.034794 :       OK
535 :  -2.375213,   0.382402, -42.081502 |  -2.781401,   1.988064,    0.000000 | 6.723201e-04, 9.402051e-04,   0.019359 :       OK
536 :  -0.498386,  -4.247958,  34.958467 |  -2.779560,  -4.469865,    0.000000 | 2.255789e-03, 1.401961e-03,   0.028925 :       OK
537 :   4.423983,  -6.393974, -24.150040 |   6.304994,  -7.377435,    0.000000 | 1.315977e+00, 1.477147e+01,   7.322884 : Overflow
538 :   2.865961,   7.703178,  12.107810 |   3.792250,   7.041505,    0.000000 | 2.925300e+00, 1.390535e+01,  19.365114 : Overflow
539 :   5.837314,   3.157503, -52.440418 |   4.270992,  -1.282413,    0.000000 | 5.137214e-04, 1.707819e-03,   0.022907 :       OK
540 :  -3.495210,   4.618465,  12.633745 |  -2.119161,   3.281156,    0.000000 | 1.423577e-03, 9.199128e-04,   0.024849 :       OK
541 :   7.295423,  -1.680848,  32.113758 |   6.206318,   1.953844,    0.000000 | 6.141729e-04, 1.947192e-03,   0.017972 :       OK
542 :  -3.504483,   2.905182,   5.937141 |  -2.673335,   2.121751,    0.000000 | 1.924963e-03, 2.424678e-03,   0.051941 :       OK
543 :  -4.199468,  -5.054762, -48.580650 |  -0.816037,  -2.473003,    0.000000 | 1.520074e-03, 5.023539e-04,   0.035211 :       OK
544 :   3.805140,  -2.890843, -18.214073 |   4.093791,  -3.541725,    0.000000 | 3.460071e-03, 3.998665e-03,   0.055933 :       OK
545 :  -0.319459,   1.876768, -51.712556 |  -1.984889,   2.508929,    0.000000 | 1.426478e-03, 1.128215e-03,   0.032591 :       OK
546 :  -0.752529,  -4.968234,   6.092352 |  -1.067152,  -4.212399,    0.000000 | 1.298646e-03, 3.297946e-04,   0.017661 :       OK
547 :  -6.736930,   5.877493,  26.666750 |  -3.853932,   2.718116,    0.000000 | 2.682508e-04, 3.808048e-04,   0.005668 :       OK
548 :  -7.876120,   2.850813, -18.740432 |  -7.675779,   4.669173,    0.000000 | 1.437425e+01, 2.119700e+00,  12.732492 : Overflow
549 :  -3.295517,   3.844486,  -3.162224 |  -2.914880,   3.345944,    0.000000 | 2.166081e-03, 1.887298e-03,   0.037073 :       OK
550 :  -2.692860,   7.719828,  -6.869385 |  -3.020416,   6.720408,    0.000000 | 3.532358e+00, 1.365415e+01,  24.603539 : Overflow
551 :  -1.246223,  -2.912567, -33.465473 |   0.277693,  -2.201967,    0.000000 | 3.516019e-04, 4.471244e-05,   0.009147 :       OK
552 :   0.967660,   3.447000,  -5.731981 |   0.520345,   2.794120,    0.000000 | 2.014522e-03, 3.740351e-04,   0.041314 :       OK
553 :  -7.958191,   3.185633,  59.543552 |  -7.233244,  -3.962356,    0.000000 | 1.438792e-03, 2.628595e-03,   0.020829 :       OK
554 :   4.559567,   4.831482,  23.937409 |   5.842558,   5.991136,    0.000000 | 4.300756e-03, 4.194222e-03,   0.041107 :       OK
555 :   6.549484,   1.039708, -35.397403 |   5.937640,  -2.542547,    0.000000 | 8.524363e-04, 1.993119e-03,   0.019238 :       OK
556 :  -7.704208,  -2.710490,  19.705156 |  -7.563479,  -4.625658,    0.000000 | 1.450403e+01, 1.936936e+00,  11.767768 : Overflow
557 :   6.124392,   4.453547,  20.793273 |   6.791012,   5.826540,    0.000000 | 1.443985e+01, 1.689202e+00,  10.679651 : Overflow
558 :   0.603445,   3.352873, -11.714096 |  -0.061551,   2.737413,    0.000000 | 2.220910e-05, 7.509390e-08,   0.000465 :       OK
559 :   4.958629,   2.517891,   8.503854 |   4.471216,   2.725286,    0.000000 | 2.075250e-03, 3.406815e-03,   0.043672 :       OK
560 :  -1.100759,  -3.452796,  44.085214 |  -3.625893,  -4.530058,    0.000000 | 2.449981e-03, 1.961481e-03,   0.030973 :       OK
561 :  -0.274218,  -5.650775,  48.698418 |  -4.797600,  -6.704555,    0.000000 | 4.804254e-03, 3.436434e-03,   0.041073 :       OK
562 :  -0.675366,   5.308869, -50.060745 |  -5.145951,   6.750745,    0.000000 | 6.176079e-03, 4.709524e-03,   0.052393 :       OK
563 :  -0.578306,  -2.690131,  16.941214 |  -1.170680,  -2.474476,    0.000000 | 6.086514e-04, 2.876006e-04,   0.014098 :       OK
564 :  -4.857525,  -0.076269, -28.526658 |  -4.507843,   2.019464,    0.000000 | 1.736333e-03, 3.871583e-03,   0.049195 :       OK
565 :   4.015436,   7.876613, -37.459279 |  -0.514294,   5.646263,    0.000000 | 4.458672e-03, 4.087608e-04,   0.045242 :       OK
566 :  -3.174777,  -3.603434,  34.573497 |  -5.044485,  -5.239026,    0.000000 | 1.859596e-03, 1.790626e-03,   0.020325 :       OK
567 :  -0.862788,  -3.303701, -34.249221 |   0.890334,  -2.791979,    0.000000 | 4.322572e-04, 1.382794e-04,   0.008868 :       OK
568 :  -0.885727,   6.159797, -28.265948 |  -3.451331,   6.123460,    0.000000 | 2.759436e-03, 1.554200e-03,   0.025828 :       OK
569 :  -5.273711,   5.491855,   4.998317 |  -3.994643,   4.192155,    0.000000 | 6.138979e-04, 5.850578e-04,   0.008381 :       OK
570 :  -1.643225,   7.727795,  -1.092222 |  -1.486011,   6.439542,    0.000000 | 4.021111e+00, 1.389013e+01,  30.380702 : Overflow
571 :  -5.870410,  -0.296075,  47.415860 |  -6.863916,  -4.842057,    0.000000 | 8.793096e-04, 1.245618e-03,   0.010390 :       OK
572 :   4.591899,  -6.063276,  55.378343 |   0.076853,  -3.286433,    0.000000 | 1.546270e-04, 3.082997e-06,   0.002696 :       OK
573 :   4.786253,  -3.004193,  28.698345 |   3.178767,  -0.738620,    0.000000 | 1.370258e-04, 5.874500e-04,   0.010586 :       OK
574 :  -5.812833,   5.685473,  42.256211 |  -2.392241,   2.171291,    0.000000 | 1.647425e-03, 1.814853e-03,   0.043444 :       OK
575 :   1.552689,   0.867883,  43.254624 |   2.270113,   2.003018,    0.000000 | 1.177432e-03, 1.334620e-03,   0.033701 :       OK
576 :  -0.872308,   1.545886,   0.662877 |  -0.709033,   1.274459,    0.000000 | 4.111536e-02, 2.240772e-02,   1.864983 :       OK
577 :  -7.660117,  -2.148205, -23.725330 |  -6.149596,   0.770322,    0.000000 | 3.966971e-04, 3.152912e-03,   0.029374 :       OK
578 :   0.624762,   6.144475,  39.666343 |   4.466278,   6.758279,    0.000000 | 3.251172e-03, 2.147525e-03,   0.027573 :       OK
579 :   3.460398,  -3.293170, -34.392312 |   5.144955,  -5.068820,    0.000000 | 1.973213e-03, 2.002885e-03,   0.022318 :       OK
580 :   6.183025,  -3.348794,  53.271808 |   4.540319,   1.418942,    0.000000 | 6.214662e-04, 1.991886e-03,   0.025141 :       OK
581 :   3.366207,  -2.185426,  17.036676 |   2.370414,  -1.051340,    0.000000 | 4.265588e-05, 9.687910e-05,   0.002345 :       OK
582 :   7.150724,   6.255903,  -7.670829 |   5.289736,   4.440861,    0.000000 | 4.553183e-04, 5.426637e-04,   0.005886 :       OK
583 :  -0.107378,  -6.303586,  -4.374262 |   0.310360,  -5.239042,    0.000000 | 5.098738e-03, 2.987345e-04,   0.055763 :       OK
584 :  -4.871047,  -6.576561, -24.509145 |  -2.011172,  -4.181848,    0.000000 | 2.693645e-03, 1.294268e-03,   0.036916 :       OK
585 :  -0.960082,   4.553649,  40.420921 |   1.889093,   4.148654,    0.000000 | 8.773231e-05, 4.047315e-05,   0.001207 :       OK
586 :  -1.288331,   1.798058,  -6.227536 |  -1.237840,   1.617241,    0.000000 | 1.583653e-04, 1.211071e-04,   0.005618 :       OK
587 :   5.936772,  -3.136034,  46.928131 |   4.295276,   0.976359,    0.000000 | 8.625738e-04, 3.784910e-03,   0.050481 :       OK
588 :   7.684699,   4.569957,  18.196948 |   7.925628,   6.044340,    0.000000 | 1.395595e+01, 1.363203e+01,  13.275976 : Overflow
589 :   7.611094,   3.723068,   2.313138 |   6.445450,   3.346891,    0.000000 | 1.297282e+01, 4.181724e+00,  29.159786 : Overflow
590 :  -2.650465,   4.424824,   1.779710 |  -2.086302,   3.605084,    0.000000 | 4.689719e-02, 2.693512e-02,   0.748150 :       OK
591 :   0.791324,  -3.090171,  48.170585 |  -1.516193,  -2.905622,    0.000000 | 1.985198e-03, 1.036731e-03,   0.039134 :       OK
592 :  -3.377361,   2.219506, -20.519101 |  -3.657867,   2.986306,    0.000000 | 5.118470e-04, 6.272291e-04,   0.009833 :       OK
593 :   2.570549,  -5.437500, -36.773701 |   5.686427,  -6.938543,    0.000000 | 1.283565e+00, 1.489344e+01,   9.333299 : Overflow
594 :   3.075912,  -5.344835,  37.140096 |   0.027130,  -3.627113,    0.000000 | 1.817323e-03, 1.256459e-05,   0.028708 :       OK
595 :  -0.453101,   4.581617,  29.561869 |   1.622572,   4.116385,    0.000000 | 1.528078e-03, 6.031250e-04,   0.021264 :       OK
596 :   6.127285,   3.881410, -37.597017 |   3.950396,   0.358449,    0.000000 | 1.205906e-04, 1.338373e-03,   0.019413 :       OK
597 :   7.946542,   6.113631, -21.680998 |   5.105865,   2.885397,    0.000000 | 2.654561e-03, 4.693814e-03,   0.052653 :       OK
598 :   4.128444,   6.322419, -27.811671 |   1.189540,   4.147582,    0.000000 | 1.388469e-03, 3.990363e-04,   0.019177 :       OK
599 :  -4.696600,  -2.202882,  18.000974 |  -4.674858,  -3.163504,    0.000000 | 2.498881e-03, 3.690958e-03,   0.045219 :       OK
600 :  -4.328405,  -0.838345,  22.783346 |  -4.163315,  -2.217498,    0.000000 | 1.384592e-03, 2.601524e-03,   0.035813 :       OK
601 :   7.456234,   3.355864,  11.687711 |   6.888202,   4.113633,    0.000000 | 1.375404e+01, 2.970349e+00,  19.785213 : Overflow
602 :   4.761963,   7.135304,  -2.121226 |   3.734848,   5.778479,    0.000000 | 4.091610e-02, 2.636035e-02,   0.406634 :       OK
603 :  -4.184654,   4.487868,  49.938512 |  -1.204300,   1.805807,    0.000000 | 1.550816e-03, 1.034775e-03,   0.049185 :       OK
604 :   1.027172,  -5.507155, -39.729445 |   4.494380,  -6.352596,    0.000000 | 2.354953e-03, 1.666814e-03,   0.021231 :       OK
605 :  -7.106463,   3.619917,  29.978172 |  -5.078236,   0.196326,    0.000000 | 1.772362e-04, 4.660763e-03,   0.052587 :       OK
606 :  -6.322169,   1.243578,  -3.012024 |  -5.307542,   1.309233,    0.000000 | 8.329797e-04, 3.384218e-03,   0.036538 :       OK
607 :   2.038264,  -1.621661, -35.894496 |   2.933448,  -2.748687,    0.000000 | 2.073775e-03, 2.212999e-03,   0.043200 :       OK
608 :  -1.687899,   5.581577,   6.192838 |  -0.907205,   4.506892,    0.000000 | 2.287216e-03, 4.591409e-04,   0.029081 :       OK
609 :  -7.454036,  -6.283093,  10.675230 |  -7.269907,  -6.463447,    0.000000 | 1.267432e+01, 1.245334e+01,  20.797694 : Overflow
610 :   5.508281,  -4.400903,  39.286490 |   2.983069,  -1.158980,    0.000000 | 3.343666e-04, 8.619322e-04,   0.016560 :       OK
611 :   0.936141,   0.140319,  21.836899 |   0.879354,   0.428268,    0.000000 | 1.142313e-04, 2.342860e-04,   0.015260 :       OK
612 :   1.988418,  -1.815279,  54.483623 |   0.795675,  -0.423851,    0.000000 | 1.498239e-05, 2.828718e-05,   0.002042 :       OK
613 :   1.771030,   1.028382,  45.904408 |   2.726198,   2.449633,    0.000000 | 1.037905e-04, 1.154194e-04,   0.002418 :       OK
614 :  -6.242402,   3.348955, -18.824731 |  -6.391462,   4.662879,    0.000000 | 4.022379e-04, 5.506817e-04,   0.004930 :       OK
615 :  -7.882302,   4.702651,  24.401052 |  -5.430205,   1.390961,    0.000000 | 8.018437e-04, 3.136764e-03,   0.033102 :       OK
