Vivado Simulator 2020.2
Time resolution is 1 ps
XilinxAXIVIP: Found at Path: tb_top.DUT.design_1_i.axi_vip_0.inst
Test initialized... Waiting for system reset...
System reset completed... Starting test...
Circular rotation test
---------------------------------------------
Number of tests             : 10000
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration : Cycle Count
1540 :  -0.079588,   0.906150, 147.931248 |  -0.681205,  -1.334103,    0.000000 | 4.977582e-01, 2.018508e+00, 4.024400e-01 : 010,  2 :  57
1541 :  -0.336683,  -0.368481, -116.666901 |  -0.293423,   0.767795,    0.000000 | 6.470246e-09, 3.418690e-09, -0.000000e+00 : 000, -1 :  84
1542 :   0.948410,  -0.304787, 123.801105 |  -0.451775,   1.577036,    0.000000 | 1.434750e+00, 2.002028e+00, 1.536616e+01 : 110,  1 :  56
1543 :   0.528545,   0.030680, 177.763037 |  -0.871695,  -0.016510,    0.000000 | 3.624482e-09, 1.446947e-08, -0.000000e+00 : 000, -1 :  84
1544 :   0.611490,  -0.993906, -25.298448 |   0.210976,  -1.910069,    0.000000 | 7.906931e-01, 2.113465e+00, 6.863499e+00 : 010,  1 :  56
1545 :   0.542670,  -0.334334, -16.493806 |   0.700562,  -0.781629,    0.000000 | 7.539753e-10, 1.800062e-09, -0.000000e+00 : 000, -1 :  84
1546 :  -0.962493,  -0.434587, -89.655465 |  -0.725179,   1.580663,    0.000000 | 1.592052e+00, 1.354217e+00, 1.809041e+01 : 100,  1 :  56
1547 :  -0.313439,  -0.896994, -93.281597 |  -1.445166,   0.599868,    0.000000 | 1.256394e+00, 3.187870e-01, 1.515335e+01 : 010,  1 :  56
1548 :   0.282843,  -0.312570, -159.858668 |  -0.614531,   0.322866,    0.000000 | 1.975806e-10, 3.494702e-10, -0.000000e+00 : 000, -1 :  84
1549 :  -0.451003,  -0.377130,  -2.663992 |  -0.770757,  -0.585852,    0.000000 | 2.772742e-09, 2.705055e-09, -0.000000e+00 : 000, -1 :  84
1550 :  -0.226957,   0.276422,  34.401609 |  -0.565560,   0.164424,    0.000000 | 8.419954e-10, 2.402412e-09, -0.000000e+00 : 000, -1 :  84
1551 :   0.445898,  -0.270159,  67.592426 |   0.691201,   0.509258,    0.000000 | 3.098676e-09, 5.644173e-09, 1.676381e-07 : 000, -1 :  84
1552 :   0.320194,  -0.507144,  14.772558 |   0.722802,  -0.673091,    0.000000 | 3.856253e-09, 1.760951e-09, 8.381903e-08 : 000, -1 :  84
1553 :   0.457998,  -0.535457,  97.584419 |   0.774508,   0.863997,    0.000000 | 3.159103e-09, 2.493129e-09, 1.676381e-07 : 000, -1 :  84
1554 :   0.741725,   0.200783, -26.604019 |   1.240189,  -0.251355,    0.000000 | 2.044632e+00, 3.784221e-01, 5.867173e+00 : 100,  2 :  57
1555 :  -0.423378,  -0.283409, -144.645305 |   0.298574,   0.784066,    0.000000 | 4.999655e-10, 1.375184e-10, -0.000000e+00 : 000, -1 :  84
1556 :  -0.826379,   0.827548, -15.247631 |  -0.954546,   1.672693,    0.000000 | 1.128752e+00, 2.018181e+00, 3.187318e+00 : 010,  1 :  56
1557 :  -0.792155,   0.651393, -174.207758 |   1.406086,  -0.935560,    0.000000 | 1.892158e+00, 1.354548e+00, 1.264271e+01 : 100,  1 :  56
1558 :  -0.432422,  -0.953766,  60.216951 |   1.009454,  -1.398192,    0.000000 | 7.950161e-01, 2.272676e+00, 1.134810e+01 : 010,  1 :  56
1559 :   0.236428,  -0.146393, 142.300282 |  -0.160635,   0.428835,    0.000000 | 6.023748e-10, 2.554177e-09, -0.000000e+00 : 000, -1 :  84
1560 :   0.961193,   0.611140, 150.469347 |  -1.873273,  -0.095491,    0.000000 | 2.125914e+00, 6.593764e-01, 1.109570e+01 : 100,  1 :  56
1561 :  -0.432245,  -0.766621,  45.143493 |   0.392854,  -1.395023,    0.000000 | 4.590450e-01, 2.363344e+00, 2.642156e+01 : 010,  1 :  56
1562 :   0.288040,   0.612183, 152.577263 |  -0.885324,  -0.676384,    0.000000 | 7.685472e-09, 8.287547e-09, -0.000000e+00 : 000, -1 :  84
1563 :   0.423396,  -0.487008, 148.159171 |  -0.169213,   1.049133,    0.000000 | 1.331628e-01, 2.028530e+00, 6.494653e+00 : 010,  3 :  58
1564 :  -0.874658,   0.240249, -45.680707 |  -0.723252,   1.306922,    0.000000 | 1.646297e+00, 1.874810e+00, 2.588434e+01 : 110,  1 :  56
1565 :  -0.461008,   0.586171,  38.602078 |  -1.195538,   0.280714,    0.000000 | 2.109396e-01, 6.319620e-01, 2.016713e+01 : 100,  1 :  56
1566 :   0.235920,   0.747344,  55.613164 |  -0.796206,   1.015680,    0.000000 | 2.496218e-02, 5.373636e-01, 1.915643e+00 : 100,  2 :  57
1567 :  -0.323204,   0.595006,  80.792544 |  -1.052371,  -0.368600,    0.000000 | 2.045086e+00, 4.177685e-01, 4.808751e+00 : 100,  2 :  57
1568 :  -0.576778,   0.517794, -86.713961 |   0.796837,   0.997130,    0.000000 | 1.308534e+00, 1.873066e+00, 1.514891e+01 : 010,  1 :  56
1569 :   0.394542,   0.575327, -139.552283 |   0.120214,  -1.142495,    0.000000 | 6.592973e-01, 2.006196e+00, 7.976524e+00 : 010,  2 :  57
1570 :  -0.541532,   0.914806, 128.351763 |  -0.628061,  -1.634087,    0.000000 | 5.266176e-01, 2.364386e+00, 1.991681e+01 : 010,  1 :  56
1571 :   0.682193,   0.355341, -169.400939 |  -0.996609,  -0.781813,    0.000000 | 1.150990e+00, 9.229590e-02, 7.835888e+00 : 010,  1 :  56
1572 :   0.032297,   0.705368, -178.048639 |  -0.013602,  -1.162709,    0.000000 | 5.492901e-01, 2.012449e+00, 2.447345e+00 : 010,  2 :  57
1573 :  -0.236293,  -0.570534, -40.664847 |  -0.907390,  -0.459105,    0.000000 | 4.034427e-10, 1.293851e-10, -0.000000e+00 : 000, -1 :  84
1574 :   0.204799,  -0.729237,  54.670443 |   1.174752,  -0.419296,    0.000000 | 1.992851e+00, 5.628128e-01, 2.858365e+00 : 100,  2 :  57
1575 :  -0.062906,  -0.855499, -88.242005 |  -1.411317,   0.060323,    0.000000 | 2.013268e+00, 5.650383e-01, 2.640710e+00 : 100,  2 :  57
1576 :   0.052417,   0.354897,  61.560245 |  -0.472792,   0.354226,    0.000000 | 1.913503e-09, 3.403104e-09, 8.381903e-08 : 000, -1 :  84
1577 :  -0.332130,   0.103671,  81.001241 |  -0.254169,  -0.513503,    0.000000 | 3.944376e-09, 2.584415e-09, 8.381903e-08 : 000, -1 :  84
1578 :  -0.487068,   0.663175, 149.373633 |   0.133848,  -1.348365,    0.000000 | 7.348333e-01, 2.110067e+00, 1.219142e+01 : 010,  1 :  56
1579 :  -0.866603,   0.590537, -46.567682 |  -0.274922,   1.704904,    0.000000 | 2.725747e-01, 2.109731e+00, 2.499737e+01 : 010,  1 :  56
1580 :  -0.814373,   0.075858, -99.234858 |   0.338520,   1.303647,    0.000000 | 3.865467e-01, 1.989774e+00, 4.836152e+00 : 010,  2 :  57
1581 :  -0.086313,   0.414376,  88.746346 |  -0.685324,  -0.127174,    0.000000 | 3.706520e-09, 5.062470e-09, -0.000000e+00 : 000, -1 :  84
1582 :  -0.572319,   0.456597, 120.011551 |  -0.179692,  -1.192194,    0.000000 | 7.809569e-01, 2.105417e+00, 1.157660e+01 : 010,  1 :  56
1583 :   0.412881,  -0.743601,  34.058716 |   1.249076,  -0.633700,    0.000000 | 2.579540e-01, 7.247385e-01, 1.562377e+01 : 100,  1 :  56
1584 :   0.874964,   0.894287, -96.324296 |   1.304995,  -1.594312,    0.000000 | 1.401047e+00, 1.834722e+00, 1.211065e+01 : 010,  1 :  56
1585 :   0.749942,  -0.273014, -150.186621 |  -1.295050,  -0.223915,    0.000000 | 2.033630e+00, 7.415348e-01, 1.137843e+01 : 100,  1 :  56
1586 :   0.880665,   0.589427, -164.933794 |  -1.148088,  -1.314249,    0.000000 | 1.121805e+00, 1.989776e+00, 3.368743e+00 : 010,  1 :  56
1587 :   0.151997,   0.303145, -18.152184 |   0.393370,   0.396383,    0.000000 | 6.310162e-10, 7.315490e-10, -0.000000e+00 : 000, -1 :  84
1588 :   0.683481,  -0.640172,  -9.162449 |   0.943303,  -1.219982,    0.000000 | 1.238167e+00, 1.917983e+00, 9.272500e+00 : 010,  1 :  56
1589 :   0.194335,   0.477488, -74.208986 |   0.843721,  -0.093968,    0.000000 | 1.561341e-09, 1.138841e-09, -0.000000e+00 : 000, -1 :  84
1590 :   0.763668,  -0.230169,  79.129875 |   0.609391,   1.163534,    0.000000 | 3.600925e-01, 1.951345e+00, 6.471420e+00 : 010,  2 :  57
1591 :  -0.567792,  -0.809745, -45.379313 |  -1.605882,  -0.271113,    0.000000 | 2.107369e+00, 2.820716e-01, 2.618574e+01 : 100,  1 :  56
1592 :  -0.805237,  -0.942905,  88.765915 |   1.523819,  -1.359167,    0.000000 | 1.512080e+00, 1.679858e+00, 1.720086e+01 : 010,  1 :  56
1593 :   0.936431,   0.309288,  35.164601 |   0.967316,   1.304496,    0.000000 | 7.173140e-01, 3.723490e-01, 1.672965e+01 : 010,  1 :  56
1594 :  -0.773383,  -0.783411, 105.700055 |   1.586590,  -0.876961,    0.000000 | 2.024782e+00, 1.108592e+00, 2.734894e+00 : 100,  1 :  56
1595 :   0.852118,   0.944312, 122.106335 |  -2.063039,   0.362128,    0.000000 | 2.220511e+00, 5.561068e-01, 1.367139e+01 : 100,  1 :  56
1596 :   0.216171,   0.677565, 133.659147 |  -1.052985,  -0.512765,    0.000000 | 1.932183e+00, 7.171296e-01, 1.118796e+01 : 100,  2 :  57
1597 :  -0.776961,   0.106538,  86.141041 |  -0.261154,  -1.264759,    0.000000 | 5.090906e-01, 2.015516e+00, 5.397465e-01 : 010,  2 :  57
1598 :  -0.268588,   0.851110, -131.782545 |   1.339831,  -0.604062,    0.000000 | 1.928873e+00, 1.581389e+00, 2.334760e+01 : 110,  1 :  56
1599 :   0.837656,   0.027282,  63.824673 |   0.568168,   1.257775,    0.000000 | 3.727325e-01, 2.082126e+00, 6.295865e+00 : 010,  2 :  57
1600 :   0.566076,   0.308277,  64.916783 |  -0.064595,   1.059494,    0.000000 | 3.639695e-01, 2.011396e+00, 7.387975e+00 : 010,  2 :  57
1601 :  -0.367738,   0.705196, -152.128111 |   1.078224,  -0.743469,    0.000000 | 1.740195e-01, 8.695441e-01, 9.436940e+00 : 100,  1 :  56
1602 :  -0.107134,   0.346867, -40.029228 |   0.232298,   0.550855,    0.000000 | 9.927017e-10, 3.244363e-09, 8.381903e-08 : 000, -1 :  84
1603 :   0.106551,  -0.664334, -154.318983 |  -0.632227,   0.909895,    0.000000 | 7.517963e-10, 2.457225e-09, -0.000000e+00 : 000, -1 :  84
1604 :  -0.773674,  -0.906427,  -5.912813 |  -1.421045,  -1.353480,    0.000000 | 1.807320e+00, 1.380676e+00, 1.252214e+01 : 100,  1 :  56
1605 :  -0.857540,   0.563067,  78.200028 |  -1.196422,  -1.192704,    0.000000 | 1.923052e+00, 1.187928e+00, 6.634977e+00 : 100,  1 :  56
1606 :   0.638014,   0.942517, 123.493359 |  -1.874167,   0.019683,    0.000000 | 2.141385e+00, 5.339208e-01, 1.505841e+01 : 100,  1 :  56
1607 :   0.443359,   0.361752, -31.603657 |   0.934008,   0.124765,    0.000000 | 2.495734e-09, 1.288542e-09, 8.381903e-08 : 000, -1 :  84
1608 :  -0.858809,   0.926141, -75.129864 |   1.111117,   1.758282,    0.000000 | 1.151310e+00, 2.006998e+00, 3.564813e+00 : 010,  1 :  56
1609 :  -0.597603,   0.170084, -83.945449 |   0.174727,   1.008161,    0.000000 | 1.584871e-01, 1.995438e+00, 1.892836e+00 : 010,  4 :  59
1610 :   0.715016,  -0.575078, -19.922357 |   0.784303,  -1.291558,    0.000000 | 9.993179e-01, 2.071432e+00, 1.487408e+00 : 010,  1 :  56
1611 :  -0.558716,   0.048227, 170.898169 |   0.895923,  -0.223964,    0.000000 | 3.312059e-09, 6.137014e-09, 8.381903e-08 : 000, -1 :  84
1612 :   0.444054,   0.323599, 109.798814 |  -0.749077,   0.507525,    0.000000 | 7.122273e-10, 5.146053e-09, -0.000000e+00 : 000, -1 :  84
1613 :  -0.391196,   0.480072,  16.619291 |  -0.843405,   0.573289,    0.000000 | 7.518286e-11, 1.181021e-10, 8.381903e-08 : 000, -1 :  84
1614 :  -0.917066,  -0.811641, 140.031433 |   2.015977,   0.054254,    0.000000 | 2.234558e+00, 2.953260e-01, 2.153362e+01 : 100,  1 :  56
1615 :   0.367044,  -0.632596, -138.202467 |  -1.144924,   0.373762,    0.000000 | 2.018135e+00, 2.926177e-01, 2.201325e+00 : 100,  3 :  58
1616 :  -0.606927,   0.146881, 159.226653 |   0.848702,  -0.580635,    0.000000 | 7.338382e-10, 2.219209e-09, -0.000000e+00 : 000, -1 :  84
1617 :  -0.102388,   0.145241, -62.600298 |   0.134753,   0.259762,    0.000000 | 1.318733e-10, 5.814025e-10, 1.676381e-07 : 000, -1 :  84
1618 :  -0.786391,   0.776149, -35.698683 |  -0.305845,   1.793626,    0.000000 | 5.143332e-01, 2.236208e+00, 1.726373e+01 : 010,  1 :  56
1619 :  -0.194962,   0.156306, -17.922587 |  -0.226266,   0.343707,    0.000000 | 5.607070e-11, 1.188828e-09, -0.000000e+00 : 000, -1 :  84
1620 :   0.797092,   0.316667, -31.756050 |   1.390569,  -0.247429,    0.000000 | 2.036598e+00, 6.761172e-01, 1.332110e+01 : 100,  1 :  56
1621 :   0.655111,  -0.165329, 153.313262 |  -0.841617,   0.727763,    0.000000 | 3.326088e-09, 3.117167e-09, 1.676381e-07 : 000, -1 :  84
1622 :   0.836900,  -0.189054,  38.088681 |   1.276752,   0.605136,    0.000000 | 1.926876e+00, 1.470267e+00, 1.965373e+01 : 110,  1 :  56
1623 :  -0.762943,   0.238854, -107.883717 |   0.760149,   1.074891,    0.000000 | 2.039570e-02, 1.049903e+00, 5.512323e-01 : 100,  1 :  56
1624 :  -0.786978,   0.184109,  37.148964 |  -1.216061,  -0.540961,    0.000000 | 1.972871e+00, 6.055053e-01, 4.677772e+00 : 100,  2 :  57
1625 :   0.655279,  -0.581976, -91.071972 |  -0.978395,  -1.060968,    0.000000 | 1.777792e+00, 1.369038e+00, 1.736298e+01 : 100,  1 :  56
1626 :   0.160531,  -0.280035,  47.082237 |   0.517728,  -0.120422,    0.000000 | 2.166420e-09, 3.383516e-09, -0.000000e+00 : 000, -1 :  84
1627 :   0.213792,   0.366422,  66.173087 |  -0.409755,   0.565820,    0.000000 | 2.154849e-11, 1.349359e-09, -0.000000e+00 : 000, -1 :  84
1628 :  -0.304033,   0.712109, 111.098763 |  -0.913829,  -0.889240,    0.000000 | 9.976820e-01, 7.713607e-02, 2.663814e+00 : 010,  1 :  56
1629 :   0.429532,  -0.704250,  25.975180 |   1.143824,  -0.732779,    0.000000 | 1.474019e-01, 8.911701e-01, 7.540231e+00 : 100,  1 :  56
1630 :  -0.904195,   0.161370, -63.066616 |  -0.437531,   1.447854,    0.000000 | 1.227489e+00, 2.010877e+00, 8.498435e+00 : 110,  1 :  56
1631 :   0.274393,   0.007996,  47.457918 |   0.295815,   0.341824,    0.000000 | 6.552715e-10, 4.681474e-10, 8.381903e-08 : 000, -1 :  84
1632 :   0.383329,   0.123385,  14.564890 |   0.559868,   0.355401,    0.000000 | 1.078098e-10, 4.551561e-10, -0.000000e+00 : 000, -1 :  84
1633 :   0.775148,   0.657016, -105.740696 |   0.695085,  -1.522129,    0.000000 | 1.097134e+00, 2.030899e+00, 2.694253e+00 : 010,  1 :  56
1634 :  -0.479585,  -0.441913, -93.401503 |  -0.679585,   0.831547,    0.000000 | 1.048912e-09, 1.466711e-09, 8.381903e-08 : 000, -1 :  84
1635 :   0.270317,   0.521198, 106.914087 |  -0.950670,   0.176183,    0.000000 | 1.016799e-09, 2.380039e-09, -0.000000e+00 : 000, -1 :  84
1636 :   0.694149,   0.171596, -13.781471 |   1.177504,   0.002134,    0.000000 | 2.028063e+00, 3.100597e-01, 9.382765e+00 : 100,  2 :  57
1637 :  -0.191389,   0.946627, 104.092789 |  -1.435208,  -0.685259,    0.000000 | 1.110962e+00, 7.513777e-02, 4.342160e+00 : 010,  1 :  56
1638 :   0.109625,  -0.354710,  96.173233 |   0.561322,   0.242292,    0.000000 | 3.597270e-09, 1.615884e-09, 1.676381e-07 : 000, -1 :  84
1639 :  -0.750268,  -0.264589, -161.164668 |   1.028680,   0.811266,    0.000000 | 1.035573e+00, 3.924892e-02, 4.003833e-01 : 010,  1 :  56
1640 :   0.424933,  -0.308251, -110.129477 |  -0.717427,  -0.482327,    0.000000 | 4.742112e-10, 8.713269e-10, 8.381903e-08 : 000, -1 :  84
1641 :  -0.529871,   0.322181, 128.378027 |   0.125814,  -1.013429,    0.000000 | 2.288658e-01, 2.005528e+00, 1.218181e+00 : 010,  3 :  58
1642 :   0.767051,  -0.562190,  19.844251 |   1.502416,  -0.442023,    0.000000 | 2.070744e+00, 9.822638e-01, 1.409302e+00 : 100,  1 :  56
1643 :   0.558709,  -0.521726, 156.444966 |  -0.500053,   1.155254,    0.000000 | 9.228518e-01, 2.093310e+00, 5.120085e+00 : 010,  1 :  56
1644 :   0.523210,  -0.413832, -172.909097 |  -0.939137,   0.569910,    0.000000 | 1.630689e-09, 4.846196e-09, -0.000000e+00 : 000, -1 :  84
1645 :  -0.114431,   0.382704, 172.463721 |   0.104156,  -0.649492,    0.000000 | 4.073455e-09, 4.427647e-11, 8.381903e-08 : 000, -1 :  84
1646 :  -0.813686,  -0.476288, -135.416789 |   0.403794,   1.499194,    0.000000 | 4.214094e-01, 2.377919e+00, 2.614826e+01 : 010,  1 :  56
1647 :   0.315468,  -0.923226, -59.440141 |  -1.045022,  -1.220337,    0.000000 | 8.179165e-01, 2.855208e-01, 1.212491e+01 : 010,  1 :  56
1648 :  -0.179923,   0.902250, -92.866692 |   1.498748,   0.221611,    0.000000 | 2.055412e+00, 5.971481e-01, 1.556826e+01 : 110,  1 :  56
1649 :  -0.507927,  -0.049977,  19.899054 |  -0.758482,  -0.362079,    0.000000 | 2.290989e-09, 2.533460e-09, -0.000000e+00 : 000, -1 :  84
1650 :  -0.425211,  -0.909705, -74.792334 |  -1.629286,   0.282730,    0.000000 | 2.052124e+00, 1.099766e+00, 3.227283e+00 : 100,  1 :  56
1651 :   0.913918,  -0.635790, 104.466453 |   0.637829,   1.718839,    0.000000 | 1.141102e+00, 2.030067e+00, 3.968496e+00 : 010,  1 :  56
1652 :  -0.497022,  -0.841732,  79.788968 |   1.219081,  -1.051238,    0.000000 | 1.204995e+00, 1.884839e+00, 8.223917e+00 : 010,  1 :  56
1653 :   0.333582,   0.184123, -147.788511 |  -0.303158,  -0.549357,    0.000000 | 1.137614e-09, 6.913086e-10, 8.381903e-08 : 000, -1 :  84
1654 :  -0.929280,  -0.411231, 116.434171 |   1.287639,  -1.068834,    0.000000 | 2.206152e+00, 8.805302e-01, 7.999222e+00 : 100,  1 :  56
1655 :  -0.287260,  -0.775744,  28.131763 |   0.185160,  -1.349594,    0.000000 | 7.718216e-01, 2.042349e+00, 9.696814e+00 : 010,  1 :  56
1656 :   0.609964,  -0.426520, 126.795266 |  -0.039182,   1.225049,    0.000000 | 6.260201e-01, 2.096843e+00, 1.836032e+01 : 010,  1 :  56
1657 :  -0.567450,   0.813738,  10.833272 |  -1.169661,   1.140518,    0.000000 | 1.911618e+00, 1.203635e+00, 7.601677e+00 : 100,  1 :  56
1658 :   0.884948,   0.443844, -27.451039 |   1.630153,  -0.023192,    0.000000 | 2.080809e+00, 7.535164e-01, 9.016090e+00 : 100,  1 :  56
1659 :   0.566277,   0.203393,  24.876032 |   0.705109,   0.696136,    0.000000 | 4.300055e-10, 7.832882e-10, 8.381903e-08 : 000, -1 :  84
1660 :  -0.673307,  -0.641228, 177.424307 |   1.155108,   1.005055,    0.000000 | 1.824534e+00, 1.379866e+00, 1.585926e+01 : 100,  1 :  56
1661 :   0.644063,   0.763425, 179.300866 |  -1.075878,  -1.244143,    0.000000 | 1.728071e+00, 1.421037e+00, 1.773581e+01 : 100,  1 :  56
1662 :   0.698486,  -0.285497, 175.320467 |  -1.108049,   0.562418,    0.000000 | 2.077602e+00, 1.237548e-01, 6.844189e+00 : 100,  3 :  58
1663 :  -0.646538,   0.222938,  13.630838 |  -1.121225,   0.105873,    0.000000 | 2.042732e+00, 3.244169e-01, 9.232132e+00 : 100,  2 :  57
1664 :   0.367412,   0.724106, -136.124119 |   0.390333,  -1.278905,    0.000000 | 4.206030e-01, 2.009041e+00, 2.544093e+01 : 010,  1 :  56
1665 :   0.898637,  -0.041625, 173.853192 |  -1.463992,   0.226609,    0.000000 | 2.008910e+00, 4.533621e-01, 1.748103e+00 : 100,  2 :  57
1666 :   0.347220,   0.112184,  80.778811 |  -0.090727,   0.594003,    0.000000 | 1.218841e-09, 2.499762e-10, -0.000000e+00 : 000, -1 :  84
1667 :   0.161041,   0.921945, -40.091455 |   1.180629,   0.990678,    0.000000 | 4.780951e-01, 6.882810e-01, 2.165651e+01 : 100,  1 :  56
1668 :   0.221167,  -0.240984, -97.899718 |  -0.443134,  -0.306211,    0.000000 | 3.371928e-09, 2.350034e-09, -0.000000e+00 : 000, -1 :  84
1669 :   0.239943,   0.588204, 120.553401 |  -1.035002,  -0.152128,    0.000000 | 2.016272e+00, 4.673709e-01, 1.917792e+00 : 100,  2 :  57
1670 :   0.324955,   0.282647,  25.488306 |   0.282744,   0.650429,    0.000000 | 3.088959e-09, 6.837058e-10, -0.000000e+00 : 000, -1 :  84
1671 :   0.277356,   0.662208,  -1.392796 |   0.483109,   1.079073,    0.000000 | 1.701922e-01, 1.970971e+00, 4.119107e+00 : 010,  3 :  58
1672 :  -0.455489,  -0.157604,  73.675677 |   0.038245,  -0.792791,    0.000000 | 4.136496e-09, 1.360243e-09, -0.000000e+00 : 000, -1 :  84
1673 :   0.563692,  -0.389013, -132.941474 |  -1.101341,  -0.243120,    0.000000 | 2.018882e+00, 3.130548e-01, 3.345266e+00 : 100,  3 :  58
1674 :   0.136078,   0.757750, -177.063818 |  -0.159875,  -1.257673,    0.000000 | 5.334672e-01, 2.009320e+00, 1.462523e+00 : 010,  2 :  57
1675 :  -0.347091,   0.726625, -138.223109 |   1.223448,  -0.511539,    0.000000 | 3.394981e-01, 5.951471e-01, 2.334194e+01 : 100,  1 :  56
1676 :  -0.518065,  -0.262165,  94.365167 |   0.495404,  -0.817795,    0.000000 | 2.018132e-09, 1.555661e-09, -0.000000e+00 : 000, -1 :  84
1677 :  -0.536047,  -0.221235, -92.836608 |  -0.320190,   0.899688,    0.000000 | 7.835544e-09, 3.872073e-09, 8.381903e-08 : 000, -1 :  84
1678 :  -0.970921,  -0.516593, -109.335886 |  -0.273325,   1.790360,    0.000000 | 9.838948e-01, 2.075683e+00, 9.009373e-01 : 010,  1 :  56
1679 :  -0.016016,  -0.257827,  24.471727 |   0.151874,  -0.397363,    0.000000 | 4.173160e-10, 4.207185e-10, -0.000000e+00 : 000, -1 :  84
1680 :   0.195284,   0.030756,  44.978784 |   0.191680,   0.263137,    0.000000 | 2.759724e-09, 1.723242e-09, 4.190952e-07 : 000, -1 :  84
1681 :  -0.906862,  -0.034207, -113.758013 |   0.550090,   1.389521,    0.000000 | 3.036203e-01, 2.112656e+00, 8.713180e+00 : 010,  2 :  57
1682 :  -0.857818,  -0.670038, -161.233332 |   0.982544,   1.499194,    0.000000 | 1.030835e+00, 2.065227e+00, 3.317188e-01 : 010,  1 :  56
1683 :   0.075560,   0.858740,  51.812710 |  -1.034578,   0.972070,    0.000000 | 1.919926e+00, 6.167769e-01, 5.716098e+00 : 100,  2 :  57
1684 :  -0.616585,  -0.936410, -169.835070 |   0.727287,   1.697034,    0.000000 | 1.270615e+00, 1.984126e+00, 8.270019e+00 : 010,  1 :  56
1685 :  -0.558093,  -0.919224,  25.713268 |  -0.171275,  -1.762589,    0.000000 | 7.937473e-01, 2.104707e+00, 7.278319e+00 : 010,  1 :  56
1686 :   0.592328,  -0.508762,  60.382218 |   1.210407,   0.433921,    0.000000 | 2.151100e+00, 7.998092e-01, 1.118283e+01 : 100,  1 :  56
1687 :  -0.360223,  -0.284934, -19.613194 |  -0.716286,  -0.242874,    0.000000 | 2.677424e-10, 4.748846e-10, -0.000000e+00 : 000, -1 :  84
1688 :   0.073333,  -0.974742, -79.243472 |  -1.554423,  -0.418222,    0.000000 | 1.128977e+00, 1.791486e-01, 7.678420e+00 : 010,  1 :  56
1689 :   0.945249,  -0.655670, -85.345391 |  -0.949854,  -1.639083,    0.000000 | 1.438973e+00, 1.893375e+00, 1.378034e+01 : 010,  1 :  56
1690 :  -0.461217,   0.178509, -105.199490 |   0.482808,   0.655874,    0.000000 | 1.929887e-09, 1.246686e-09, -0.000000e+00 : 000, -1 :  84
1691 :  -0.813813,   0.723048,  37.106778 |  -1.787135,   0.141069,    0.000000 | 2.204891e+00, 4.634034e-01, 1.867183e+01 : 100,  1 :  56
1692 :   0.464063,   0.351197, 145.296889 |  -0.957521,  -0.040381,    0.000000 | 1.664063e-09, 5.873511e-09, -0.000000e+00 : 000, -1 :  84
1693 :   0.820980,   0.212933, -173.310785 |  -1.301908,  -0.505743,    0.000000 | 1.176905e+00, 2.241457e-01, 1.174573e+01 : 010,  1 :  56
1694 :  -0.247412,  -0.484365, -116.186850 |  -0.535967,   0.717605,    0.000000 | 9.257572e-10, 4.128280e-09, 1.676381e-07 : 000, -1 :  84
1695 :  -0.839932,   0.701649,  28.656875 |  -1.767850,   0.350598,    0.000000 | 2.157127e+00, 7.180905e-01, 1.022193e+01 : 100,  1 :  56
1696 :   0.104506,   0.090175,  46.370314 |   0.011262,   0.227027,    0.000000 | 1.083421e-09, 1.115837e-09, 8.381903e-08 : 000, -1 :  84
1697 :  -0.953080,  -0.269390, -89.728335 |  -0.451057,   1.567373,    0.000000 | 4.295675e-01, 1.272448e+00, 1.816328e+01 : 100,  1 :  56
1698 :  -0.276867,  -0.958369,  71.930696 |   1.358954,  -0.922955,    0.000000 | 1.059835e+00, 2.846991e-02, 3.656449e-01 : 010,  1 :  56
1699 :   0.985021,   0.391667,   4.649814 |   1.564469,   0.774355,    0.000000 | 1.282771e+00, 1.694344e+00, 1.378514e+01 : 010,  1 :  56
1700 :   0.186530,  -0.605836, -92.637652 |  -1.010746,  -0.260932,    0.000000 | 2.002946e+00, 5.335509e-01, 1.761053e+00 : 100,  2 :  57
1701 :  -0.617012,  -0.410395,  70.496937 |   0.297824,  -1.183401,    0.000000 | 9.907369e-01, 2.052685e+00, 1.068114e+00 : 010,  1 :  56
1702 :   0.833076,  -0.273098, -108.908020 |  -0.870016,  -1.152117,    0.000000 | 4.383102e-02, 1.039051e+00, 4.730713e-01 : 100,  1 :  56
1703 :   0.166122,  -0.117381, 107.619143 |   0.101426,   0.319240,    0.000000 | 3.193028e-10, 1.055016e-09, 8.381903e-08 : 000, -1 :  84
1704 :  -0.765455,   0.787505,  25.274802 |  -1.693547,   0.634494,    0.000000 | 2.151612e+00, 8.359645e-01, 6.839853e+00 : 100,  1 :  56
1705 :   0.344463,  -0.318722,  30.558111 |   0.755309,  -0.163568,    0.000000 | 2.759855e-09, 9.471077e-10, 8.381903e-08 : 000, -1 :  84
1706 :  -0.367112,  -0.090602,  40.491169 |  -0.362881,  -0.506017,    0.000000 | 6.225234e-09, 4.195234e-09, 8.381903e-08 : 000, -1 :  84
